backbone,pyridone,0,2,3,4,6,7,9,12,14,16,18,19,21,46,68,91,148,157,161,232,234,235,237,240,247,252,255,270,271,275,293,324,327,355,357,415,442,465,469,494,505,506,507,519,538,540,543,575,597,602,605,642
0,0,-1542.968356,-1542.977051,-1543.025412,-1542.977242,-1542.994555,-1543.009476,-1542.935777,-1543.018694,-1543.025011,-1543.032945,-1543.028181,-1543.032945,-1543.018215,-1543.029281,-1543.032946,-1543.018675,-1542.989942,-1543.026298,-1542.99194,-1542.995256,-1542.822084,-1543.017108,-1543.009445,-1543.01341,-1543.01036,-1543.02475,-1543.009707,-1543.015926,-1543.038536,-1543.046991,-1543.009707,-1543.046373,-1543.046866,-1543.015926,-1543.073538,-1543.035814,-1543.072533,-1543.07243,-1543.069901,-1543.061806,-1543.06983,-1543.072429,-1543.062481,-1543.06798,-1543.057803,-1543.058442,-1543.052533,-1543.061648,-1543.059923,-1543.047561,-1543.056282,-1543.057803
0,1,-2461.893716,-2461.902411,-2461.946314,-2461.902601,-2461.915496,-2461.930579,-2461.861136,-2461.944451,-2461.947545,-2461.957971,-2461.955917,-2461.957971,-2461.944498,-2461.951493,-2461.957971,-2461.943957,-2461.911866,-2461.948347,-2461.918142,-2461.921936,-2461.737635,-2461.943477,-2461.933381,-2461.934761,-2461.932394,-2461.946465,-2461.931238,-2461.942127,-2461.960207,-2461.972903,-2461.931238,-2461.968448,-2461.964619,-2461.942128,-2461.997214,-2461.96221,-2461.99685,-2461.996492,-2461.991209,-2461.987543,-2461.991528,-2461.996492,-2461.985402,-2461.990525,-2461.980786,-2461.98181,-2461.97605,-2461.984513,-2461.982738,-2461.9697,-2461.979264,-2461.980786
0,2,-1879.755684,-1879.764379,-1879.810132,-1879.76457,-1879.77923,-1879.794565,-1879.723105,-1879.808674,-1879.810885,-1879.820215,-1879.816076,-1879.820215,-1879.808789,-1879.815907,-1879.820216,-1879.806334,-1879.776518,-1879.811978,-1879.780801,-1879.784833,-1879.601001,-1879.806897,-1879.796389,-1879.798912,-1879.796133,-1879.809893,-1879.79431,-1879.804786,-1879.8242,-1879.836079,-1879.79431,-1879.831862,-1879.827501,-1879.804787,-1879.860724,-1879.825642,-1879.860298,-1879.860043,-1879.8555,-1879.850726,-1879.8566,-1879.860043,-1879.849057,-1879.855273,-1879.843541,-1879.845263,-1879.838246,-1879.848056,-1879.845549,-1879.834163,-1879.842077,-1879.843541
0,3,-1747.314059,-1747.322754,-1747.366495,-1747.322945,-1747.336113,-1747.35137,-1747.28148,-1747.368072,-1747.368334,-1747.37977,-1747.37535,-1747.37977,-1747.368959,-1747.373898,-1747.379771,-1747.366527,-1747.33465,-1747.369554,-1747.341103,-1747.345296,-1747.15353,-1747.367574,-1747.355471,-1747.356116,-1747.354899,-1747.367017,-1747.351026,-1747.365088,-1747.381607,-1747.396811,-1747.351026,-1747.389323,-1747.387918,-1747.365088,-1747.417995,-1747.386846,-1747.417961,-1747.417658,-1747.412224,-1747.411578,-1747.412766,-1747.417657,-1747.407238,-1747.412058,-1747.401237,-1747.40353,-1747.398863,-1747.408768,-1747.403035,-1747.392222,-1747.39964,-1747.401236
0,4,-1770.680219,-1770.688914,-1770.733942,-1770.689105,-1770.705455,-1770.719814,-1770.64764,-1770.733243,-1770.735727,-1770.746081,-1770.740649,-1770.746081,-1770.734323,-1770.740499,-1770.746081,-1770.730987,-1770.701437,-1770.737406,-1770.706015,-1770.709981,-1770.531426,-1770.731902,-1770.721634,-1770.724002,-1770.72108,-1770.735167,-1770.719801,-1770.730001,-1770.749237,-1770.761253,-1770.719801,-1770.757234,-1770.752251,-1770.730001,-1770.785261,-1770.751428,-1770.784728,-1770.784561,-1770.780895,-1770.775596,-1770.78098,-1770.78456,-1770.774444,-1770.779358,-1770.769056,-1770.770059,-1770.763621,-1770.773067,-1770.770998,-1770.759206,-1770.767301,-1770.769056
0,5,-1582.259026,-1582.267721,-1582.316631,-1582.267911,-1582.286344,-1582.30086,-1582.226446,-1582.310045,-1582.316076,-1582.324654,-1582.317937,-1582.324654,-1582.30967,-1582.320378,-1582.324654,-1582.309803,-1582.281308,-1582.317732,-1582.2829,-1582.286749,-1582.114752,-1582.308362,-1582.300262,-1582.304674,-1582.301881,-1582.316137,-1582.301074,-1582.306886,-1582.329631,-1582.338335,-1582.301074,-1582.337787,-1582.338213,-1582.306886,-1582.364596,-1582.32671,-1582.363577,-1582.363552,-1582.361043,-1582.353071,-1582.361024,-1582.363552,-1582.353872,-1582.359004,-1582.348614,-1582.349701,-1582.343982,-1582.352973,-1582.350779,-1582.338873,-1582.347144,-1582.348614
0,6,-1582.258763,-1582.267458,-1582.316993,-1582.267649,-1582.286181,-1582.300804,-1582.226184,-1582.309655,-1582.315267,-1582.324319,-1582.31855,-1582.324319,-1582.30927,-1582.320503,-1582.32432,-1582.309527,-1582.281251,-1582.317584,-1582.282449,-1582.286539,-1582.116009,-1582.307647,-1582.300986,-1582.304943,-1582.301906,-1582.316082,-1582.301172,-1582.306434,-1582.329973,-1582.338022,-1582.301172,-1582.337656,-1582.338136,-1582.306434,-1582.364487,-1582.32608,-1582.363401,-1582.363313,-1582.361347,-1582.352786,-1582.361143,-1582.363313,-1582.353525,-1582.35916,-1582.349239,-1582.349368,-1582.343806,-1582.352694,-1582.351295,-1582.338777,-1582.347636,-1582.349239
0,7,-1582.257146,-1582.265841,-1582.314723,-1582.266032,-1582.283946,-1582.298747,-1582.224567,-1582.307532,-1582.313688,-1582.322194,-1582.316988,-1582.322193,-1582.306945,-1582.318177,-1582.322194,-1582.307503,-1582.278839,-1582.315489,-1582.280076,-1582.284433,-1582.11335,-1582.305285,-1582.298547,-1582.302594,-1582.29953,-1582.314066,-1582.299244,-1582.304062,-1582.32767,-1582.335914,-1582.299244,-1582.335602,-1582.336036,-1582.304062,-1582.362452,-1582.323845,-1582.361323,-1582.361245,-1582.359078,-1582.350677,-1582.359083,-1582.361245,-1582.351433,-1582.357066,-1582.346897,-1582.347318,-1582.341699,-1582.350612,-1582.349037,-1582.336433,-1582.345347,-1582.346897
0,8,-1582.260866,-1582.269561,-1582.307867,-1582.269751,-1582.2854,-1582.299711,-1582.228287,-1582.308932,-1582.319377,-1582.323331,-1582.321368,-1582.323331,-1582.308053,-1582.313902,-1582.323331,-1582.309043,-1582.2755,-1582.317854,-1582.283446,-1582.287084,-1582.114811,-1582.306815,-1582.300998,-1582.300466,-1582.301734,-1582.317233,-1582.302032,-1582.307431,-1582.325497,-1582.338387,-1582.302032,-1582.338696,-1582.338545,-1582.307431,-1582.36433,-1582.326101,-1582.362893,-1582.362921,-1582.351801,-1582.353806,-1582.359152,-1582.362921,-1582.354068,-1582.352379,-1582.347374,-1582.350494,-1582.344576,-1582.353893,-1582.350451,-1582.335645,-1582.345849,-1582.347375
